Elevator call,0.437472729039321,0,-1,3,0, Done, dt, 164.5625272709607
Elevator call,2.2094056301593525,0,-1,3,0, Done, dt, 162.79059436984065
Elevator call,18.77299317966884,-1,-2,3,0, Done, dt, 157.22700682033116
Elevator call,19.590869649656987,0,7,3,1, Done, dt, 193.40913035034302
Elevator call,29.579433566814906,0,1,3,0, Done, dt, 117.42056643318509
Elevator call,33.242673193933555,10,0,3,1, Done, dt, 120.75732680606644
Elevator call,52.96277472128405,3,-1,3,0, Done, dt, 112.03722527871595
Elevator call,64.38547514955395,2,-1,3,0, Done, dt, 100.61452485044605
Elevator call,72.26161212799506,10,0,3,1, Done, dt, 235.73838787200492
Elevator call,80.56754743307536,-1,-2,3,0, Done, dt, 95.43245256692464
